Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Gary L. Shields,AvTech Ventures,,,,Venture Capital,www.avtechventures.com,"Japan, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.40,"Rancho Santa Fe, CA",www.avtechventures.com,,,,,,,,,,,,,,,
Livingston Parsons,Accion,,,,Impact Investing,www.accion.org,"Africa, Central America, China, Europe, Hong Kong, India, Oceania, South America, Southeast Asia, Taiwan","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.04,$0.05,"Cambridge, MA",www.accion.org,,,,,,,,,,,,,,,
Sundeep Ahuja,Duro Ventures,,,,Venture Capital,www.duro.vc,,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$0.50,"San Francisco, CA",www.duro.vc,,,,,,,,,,,,,,,
Scott Button,Venture Investors,,,,Venture Capital,www.ventureinvestors.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.80,"Madison, WI",www.ventureinvestors.com,,Yes,28%,7.0,10,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,4,5%,High,82%,Yes
William Porteous,RRE Ventures,,,,Venture Capital,www.rre.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.80,"New York, NY",www.rre.com,,,,,,,,,,,,,,,
David Armstrong,Foundation Capital,,,,Venture Capital,www.foundationcapital.com,United States,"Early Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Palo Alto, CA",www.foundationcapital.com,,,,,,,,,,,,,,,
Segolene Scarborough,Lux Capital,,,,Venture Capital,www.luxcapital.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$50.00,,www.luxcapital.com,,,,,,,,,,,,,,,
Matt Shlosberg,Formic Ventures,,,,Venture Capital,www.formic.vc,,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$3.00,"San Francisco, CA",www.formic.vc,,,,,,,,,,,,,,,
Jeremy Abelson,Irving Investors,,,,Growth/Expansion,www.irvinginvestors.com,,"Early Stage,IPO,Late Stage,PE Growth/Expansion,Public Investment 2nd Offering,Secondary Market,Secondary Transaction - Private,Secondary Transaction - Stock Distribution,Seed",,"Convertible Debt,Debt,Crowdfunding,Credit Line",$2.00,$25.00,"New York, NY",www.irvinginvestors.com,,,,,,,,,,,,,,,
Lu Zhang,Fusion Fund,,,,Venture Capital,www.fusionfund.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.fusionfund.com,,,,,,,,,,,,,,,
