Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Catherine Elizabeth Bingham,Dementia Discovery Fund,,,,Venture Capital,www.theddfund.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.33,$19.92,,www.theddfund.com,,,,,,,,,,,,,,,
Joseph Kell,Rising Tide Fund,,,,Venture Capital,www.rtf.vc,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$20.00,"San Francisco, CA",www.rtf.vc,,,,,,,,,,,,,,,
Sheila Mutter,Technology Partners,,,,Venture Capital,www.technologypartners.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$3.00,$0.10,"Novato, CA",www.technologypartners.com,,,,,,,,,,,,,,,
Todd Breeden,Tuhaye Venture Partners,,,,Venture Capital,www.tuhayeventurepartners.com,"California, District of Columbia, New York, Texas","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"New York, NY",www.tuhayeventurepartners.com,,No,,,,,,,,,,,,,
Jackson Heddy,Northzone Ventures,,,,Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.12,$2.94,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Don N. Aquilano,Blue Chip Venture,,,,Venture Capital,www.bcvc.com,"Midwest, New York Metro, Northeast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$6.00,,www.bcvc.com,,,,,,,,,,,,,,,
Sebastian Vidal,Parallel18,,,,Venture Capital,www.parallel18.com,"Europe, South America, United States",,,Grant,$0.04,$0.08,"San Juan, PR",www.parallel18.com,,,,,,,,,,,,,,,
Joel Krikston,Merck Global Health Innovation Fund,,,,Corporate Venture Capital,www.merckghifund.com,"Europe, North America","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$15.00,,www.merckghifund.com,,,,,,,,,,,,,,,
Gretchen Knoell,Lake Street Capital,,,,Secondary Buyer,www.lakestreetcapital.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$50.00,,www.lakestreetcapital.com,,,,,,,,,,,,,,,
Benjamin F. duPont,Chartline Capital Partners,,,,Venture Capital,www.chartline.com,"Canada, United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Wilmington, DE",www.chartline.com,,,,,,,,,,,,,,,
Charles E. Haberkorn,Stonehenge Capital,,,,Growth/Expansion,www.stonehengecapital.com,,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.stonehengecapital.com,,,,,,,,,,,,,,,
Stanley D. Lynall,OSF Ventures,,,,Corporate Venture Capital,www.osfventures.org,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.osfventures.org,,,,,,,,,,,,,,,
Amit Garg,Tau Ventures,,,,Venture Capital,www.tauventures.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.tauventures.com,,,,,,,,,,,,,,,
Douglas Berman,H.I.G. Capital,,,,PE/Buyout,www.higcapital.com,"Europe, United States","Add-on,Buy-out,Carveout,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$100.00,"Miami, FL",www.higcapital.com,,,,,,,,,,,,,,,
Eric H. Sillman,Aperture Venture Partners,,,,Venture Capital,www.aperturevp.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,"New York, NY",www.aperturevp.com,,,,,,,,,,,,,,,
Neil Sequeira,Defy Partners Management,,,,Venture Capital,www.defy.vc,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$10.00,"Woodside, CA",www.defy.vc,,,,,,,,,,,,,,,
John Kerschen,Michigan Accelerator Fund 1,,,,Venture Capital,www.maf-1.com,Michigan,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.maf-1.com,,,,,,,,,,,,,,,
Donald E. Hall,Arcturus Capital,,,,Venture Capital,www.arcturusvc.com,Southern California,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.20,"Pasadena, CA",www.arcturusvc.com,,,,,,,,,,,,,,,
Ian Sobieski,Band of Angels,,,,Angel Group,www.bandangels.com,California,"Angel Round,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.08,"San Francisco, CA",www.bandangels.com,,,,,,,,,,,,,,,
Gil Dibner,Angular Ventures,,,,Venture Capital,www.angularventures.com,"Europe, Israel","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.13,"London, United Kingdom",www.angularventures.com,,,,,,,,,,,,,,,
Edward A. Lafferty,Saturn Partners,,,,Venture Capital,www.saturnpartnersvc.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.saturnpartnersvc.com,,,,,,,,,,,,,,,
Rajesh Kamat,Emerald Media Advisors,,,,Growth/Expansion,www.emeraldmedia.asia,Asia,"Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$2.00,$7.50,"Mumbai, India",www.emeraldmedia.asia,,,,,,,,,,,,,,,
Dan Kozikowski,FirstMark Capital,,,,Venture Capital,www.firstmarkcap.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"New York, NY",www.firstmarkcap.com,,,,,,,,,,,,,,,
Rocky Daehler,Motorola Solutions Venture Capital,,,,Corporate Venture Capital,,"Israel, Northeast, Southeast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,,,,,,,,,,,,,,,,
Katie Riester,Felicis Ventures,,,,Venture Capital,www.felicis.com,"Australia, Canada, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$3.00,"Menlo Park, CA",www.felicis.com,,,,,,,,,,,,,,,
Michele Giddens,Bridges Fund Management,,,,Asset Manager,www.bridgesfundmanagement.com,"Canada, Central America, Europe, North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.27,$2.70,"London, United Kingdom",www.bridgesfundmanagement.com,,,,,,,,,,,,,,,
Karen Kerr,Agile Equities,,,,Venture Capital,www.agile-equities.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"New York, NY",www.agile-equities.com,,,,,,,,,,,,,,,
Jack Shields,Boston Capital Ventures,,,,Venture Capital,www.bcv.com,"Asia, Central America, Europe, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.bcv.com,,,,,,,,,,,,,,,
Michael A. Pucker,DNS Capital,,,,Family Office,www.dnscap.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,"Chicago, IL",www.dnscap.com,,,,,,,,,,,,,,,
,Difference Capital Financial,,,,Venture Capital, ,Canada,,,"Convertible Debt,SAFE,Debt",$2.00,$10.00,"Toronto, Canada", ,,,,,,,,,,,,,,,
David L. Balter,David Balter,,,,Angel (individual), ,"California, Massachusetts, New York",,,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"Boston, MA", ,,,,,,,,,,,,,,,
Craig Gunther,Blade Ventures,,,,Venture Capital,www.bladeventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.50,,www.bladeventures.com,,,,,,,,,,,,,,,
Douglas Broyles,Huntington Ventures,,,,Venture Capital,www.huntingtonventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.15,"Irvine, CA",www.huntingtonventures.com,,,,,,,,,,,,,,,
John L. Steffens,Spring Mountain Capital,,,,Growth/Expansion,smcgrowthcapital.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,"New York, NY",smcgrowthcapital.com,,,,,,,,,,,,,,,
Sean O'Sullivan,SOSV,,,,Venture Capital,www.sosv.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$2.50,$0.03,"Princeton, NJ",www.sosv.com,,,,,,,,,,,,,,,
Conor Webb,ff Venture Capital,,,,Venture Capital,www.ffvc.com,"Canada, Europe, Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.07,"New York, NY",www.ffvc.com,,,,,,,,,,,,,,,
Kirsten Morbeck,SpringRock Ventures,,,,Venture Capital,www.springrockventures.com,North America,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"Seattle, WA",www.springrockventures.com,,,,,,,,,,,,,,,
Mary Wheeler,BioRock Ventures,,,,Venture Capital,www.biorockventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.50,,www.biorockventures.com,,,,,,,,,,,,,,,
Steven B. Mercil,RAIN Source Capital,,,,Angel Group,www.rainsourcecapital.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.rainsourcecapital.com,,,,,,,,,,,,,,,
David Wang,Photon Fund,,,,Venture Capital,www.photonfund.cn,"China, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.photonfund.cn,,,,,,,,,,,,,,,
Rodrigo Ocejo,Avalancha Ventures,,,,Venture Capital,www.avalancha.ventures,"Mexico, South America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Mexico City, Mexico",www.avalancha.ventures,,,,,,,,,,,,,,,
Patrick J. Foley,Innovation Capital Advisors,,,,Venture Capital,www.innovationcapital.com,Mid Atlantic,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,,www.innovationcapital.com,,,,,,,,,,,,,,,
Jeff Williams,Covera Ventures,,,,Venture Capital,www.coveraventures.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Austin, TX",www.coveraventures.com,,,,,,,,,,,,,,,
James Stewart,True Ventures,,,,Venture Capital,www.trueventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$20.00,$0.25,"Palo Alto, CA",www.trueventures.com,,,,,,,,,,,,,,,
Avadis Tevanian,Elevation Partners,,,,PE/Buyout,www.elevation.com,,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$25.00,$300.00,"Menlo Park, CA",www.elevation.com,,,,,,,,,,,,,,,
George Arida,30Ventures,,,,Venture Capital,www.30ventures.net,Midwest,"Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.30ventures.net,,,,,,,,,,,,,,,
Esther Dyson,Esther Dyson,,,,Angel (individual), ,"408, 650, Africa, California, India, New York, Russia","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"New York, NY", ,,,,,,,,,,,,,,,
Jonathan D. Leitersdorf,L Capital Partners,,,,PE/Buyout,www.lcapitalpartners.com,"Israel, United States, Western Europe","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.60,"New York, NY",www.lcapitalpartners.com,,,,,,,,,,,,,,,
Richard Wilmot,Philips Health Technology Venture Fund,,,,Corporate Venture Capital,www.ventures.philips.com,"Eastern Europe, United States, Western Europe","Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.23,$0.56,"Amsterdam, Netherlands",www.ventures.philips.com,,No,40%,30.0,6,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,1,20%,High,34%,Yes
Chase Petrie,LOUD Capital,,,,Venture Capital,www.loud.vc,,"Add-on,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Columbus, OH",www.loud.vc,,,,,,,,,,,,,,,
Timothy Young,Eniac Ventures,,,,Venture Capital,www.eniac.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.20,"San Francisco, CA",www.eniac.vc,,,,,,,,,,,,,,,
George C. Kenney,Shepherd Ventures,,,,Venture Capital,www.shepherdventures.com,"Southern California, Southwest","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.shepherdventures.com,,,,,,,,,,,,,,,
Kevin Comolli,Accel,,,,Venture Capital,www.accel.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$30.00,"Palo Alto, CA",www.accel.com,,,,,,,,,,,,,,,
Timothy Keane,Golden Angels Investors,,,,Angel Group,www.goldenangelsinvestors.com,United States,Early Stage,,"Convertible Debt,SAFE,Debt",$0.02,$0.10,"Brookfield, WI",www.goldenangelsinvestors.com,,,,,,,,,,,,,,,
Allan Kaplan,KG Investments,,,,Family Office,www.kginvest.net, ,,,"Convertible Debt,SAFE,Debt",$0.20,$2.00,"Scottsdale, AZ",www.kginvest.net,,,,,,,,,,,,,,,
Neil Ruthven,Founders Fund,,,,Venture Capital,www.foundersfund.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$150.00,,www.foundersfund.com,,,,,,,,,,,,,,,
Timothy Matthew Schaller,New Enterprise Associates,,,,Venture Capital,www.nea.com,"Asia, Brazil, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$5.00,"Lutherville-Timonium, MD",www.nea.com,,,,,,,,,,,,,,,
Rachel Lam,Imagination Capital,,,,Venture Capital,www.imaginationvc.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.05,"New York, NY",www.imaginationvc.com,,,,,,,,,,,,,,,
Thomas J. Wooters,SEED Venture Finance,,,,Venture Capital,svf.x10host.com,,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.25,"Taunton, MA",svf.x10host.com,,,,,,,,,,,,,,,
,AQUITI Gestion,,,,Venture Capital,www.aquiti.fr,France,,,"Convertible Debt,SAFE,Debt",$0.16,$1.55,"Bordeaux, France",www.aquiti.fr,,,,,,,,,,,,,,,
Ian Warwick,Deepbridge Capital,,,,Venture Capital,www.deepbridgecapital.com,United Kingdom,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.67,"Chester, United Kingdom",www.deepbridgecapital.com,,,,,,,,,,,,,,,
Fred Fereydoun Nazem,Nazem & Co.,,,,Venture Capital,www.nazem.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.nazem.com,,,,,,,,,,,,,,,
Stephen Tomlin,Avalon Ventures,,,,Venture Capital,www.avalon-ventures.com,"Northeast, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$1.50,"San Diego, CA",www.avalon-ventures.com,,,,,,,,,,,,,,,
Kenneth Benson Sawyer,Saints Capital,,,,Secondary Buyer,www.saintscapital.com,"Asia, Europe, United States",,,"Convertible Debt,SAFE,Debt",$0.50,$250.00,"Denver, CO",www.saintscapital.com,,,,,,,,,,,,,,,
Dick Leazer,Wisconsin Investment Partners,,,,Venture Capital,www.wisinvpartners.com,United States,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$0.40,"Madison, WI",www.wisinvpartners.com,Under $5 Billion,Yes,10%,25.0,35,Over 5X and under 10X,"Revenue driven returns,Acquisition",Heavily Supportive,Accept Others DD Reports,Months,3,7%,Medium,0%,Yes
Matthew Miller,Walden Venture Capital,,,,Venture Capital,www.waldenvc.com,,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,,www.waldenvc.com,,,,,,,,,,,,,,,
Evgeny Zatsev,Bering Capital,,,,Venture Capital,beringcapital.com,"Canada, Europe, United States","Bridge,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.80,"San Francisco, CA",beringcapital.com,,,,,,,,,,,,,,,
Kelly Ford Buckley,Edison Partners,,,,Venture Capital,www.edisonpartners.com,"Canada, DC Metro, Great Lakes, Mid Atlantic, Midwest, Mountain, New England, New York Metro, Northeast, Northwest, South, Southeast, Southern California, Southwest, US Territories, West Coast","Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,"Princeton, NJ",www.edisonpartners.com,,,,,,,,,,,,,,,
Bruce Eric Clarke,PBJ Capital,,,,Venture Capital,pbjcapital.com, ,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Boston, MA",pbjcapital.com,,,,,,,,,,,,,,,
Ryan Rafols,Astralabs,,,,Accelerator/Incubator,www.astralabs.com,"Africa, Americas, Asia, Canada, Europe, Middle East, Oceania, United States","Angel Round,Early Stage,Late Stage,M&A,Reverse Merger,Seed",,Crowdfunding,$0.03,$0.01,"Austin, TX",www.astralabs.com,,,,,,,,,,,,,,,
Andrew Anker,Andrew Anker,,,,Angel (individual), ,"408, 650, California, New York",,,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Half Moon Bay, CA", ,,,,,,,,,,,,,,,
Maurice Khawam,NexTFund Capital,,,,Growth/Expansion,www.nextfund-capital.com,"France, United States",,,"Convertible Debt,SAFE,Debt",$0.78,$3.10,"Paris, France",www.nextfund-capital.com,,,,,,,,,,,,,,,
Eli Wolfson,Moneta Ventures,,,,Venture Capital,www.moneta.vc,"Texas, West Coast","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.moneta.vc,,,,,,,,,,,,,,,
Celestine E. Schnugg,Boom Capital Ventures,,,,Venture Capital,www.boomcap.co,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"San Francisco, CA",www.boomcap.co,,,,,,,,,,,,,,,
Alex Soffe,Kickstart Seed Fund,,,,Venture Capital,www.kickstartfund.com,"Mountain, Utah","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.kickstartfund.com,,,,,,,,,,,,,,,
Mark Olesnavage,Hopen Life Science Ventures,,,,Venture Capital,www.hopenls.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$0.50,"Grand Rapids, MI",www.hopenls.com,,,,,,,,,,,,,,,
Stephen DiBartolomeo,Scout Ventures,,,,Venture Capital,www.scoutventures.com,"Canada, North America, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"New York, NY",www.scoutventures.com,,,,,,,,,,,,,,,
Asheem Chandna,Greylock Partners,,,,Venture Capital,www.greylock.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$200.00,$0.05,"Menlo Park, CA",www.greylock.com,,,,,,,,,,,,,,,
Jospeh C.C. Huang,Kenson Ventures,,,,Venture Capital,www.kensonventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.kensonventures.com,,,,,,,,,,,,,,,
Kevin Croy,9Mile Labs,,,,Venture Capital,www.9milelabs.com,United States,,,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Seattle, WA",www.9milelabs.com,,,,,,,,,,,,,,,
Chase Petrie,LOUD Capital,,,,Venture Capital,www.loud.vc,,"Add-on,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Columbus, OH",www.loud.vc,,,,,,,,,,,,,,,
Eric H. Sillman,Aperture Venture Partners,,,,Venture Capital,www.aperturevp.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$4.00,"New York, NY",www.aperturevp.com,,,,,,,,,,,,,,,
Brian S. Model,Topmark Partners,,,,Venture Capital,www.topmarkpartners.com,"New York Metro, Southeast","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.topmarkpartners.com,,,,,,,,,,,,,,,
Chamath Palihapitiya,Social Capital,,,,Venture Capital,www.socialcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Palo Alto, CA",www.socialcapital.com,,,,,,,,,,,,,,,
David Cremin,Frontier Venture Capital,,,,Venture Capital,www.frontiervc.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Santa Monica, CA",www.frontiervc.com,,,,,,,,,,,,,,,
Mark A. Johnson,TTV Capital,,,,Venture Capital,www.ttvcapital.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Atlanta, GA",www.ttvcapital.com,,,,,,,,,,,,,,,
Josh Chapman,Konvoy Ventures,,,,Venture Capital,www.konvoy.vc,"Africa, Americas, Asia, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.30,"Denver, CO",www.konvoy.vc,,,,,,,,,,,,,,,
Stella M. Sung,Pearl Street Venture Funds,,,,Venture Capital,www.psvf.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.psvf.com,,,,,,,,,,,,,,,
Marc Steiner,Plug and Play Tech Center,,,,Accelerator/Incubator,www.plugandplaytechcenter.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$0.02,"Sunnyvale, CA",www.plugandplaytechcenter.com,,,,,,,,,,,,,,,
David Dickel,Crédit Mutuel Equity,,,,Growth/Expansion,www.creditmutuel-equity.eu,Canada,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.39,$3.91,"Paris, France",www.creditmutuel-equity.eu,,,,,,,,,,,,,,,
Christian Follmann,Hercules Capital (NYS: HTGC),,,,Lender/Debt Provider,www.htgc.com,United States,"Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Second Lien",,"Debt,Debt Refinancing,Loan,Credit Line",$1.00,$75.00,,www.htgc.com,,,,,,,,,,,,,,,
Jordan S. Ryan,Rhythm VC,,,,Venture Capital,www.rhythmvc.com, ,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.rhythmvc.com,,,,,,,,,,,,,,,
Parag Shah,K2 HealthVentures,,,,Venture Capital,www.k2healthventures.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$10.00,$50.00,"Boston, MA",www.k2healthventures.com,,,,,,,,,,,,,,,
Yang Yigang,WaterStar Capital,,,,Venture Capital,www.wscapitalus.com,United States,"Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.wscapitalus.com,,,,,,,,,,,,,,,
Ryan Sweeney,Accel,,,,Venture Capital,www.accel.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$30.00,"Palo Alto, CA",www.accel.com,,,,,,,,,,,,,,,
Ye Yuan,Ceyuan Ventures,,,,Venture Capital,www.ceyuan.com,"Asia, Middle East","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.ceyuan.com,,,,,,,,,,,,,,,
Robert C. McNair,Cogene Ventures,,,,Venture Capital,www.cogeneventures.com,Southeast,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$1.00,"Houston, TX",www.cogeneventures.com,,,,,,,,,,,,,,,
Albert Hansen,KESA Partners,,,,Merchant Banking Firm,www.kesapartners.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$3.00,"Henderson, NV",www.kesapartners.com,,,,,,,,,,,,,,,
Ashton Kutcher,Ashton Kutcher,,,,Angel (individual),,California,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Los Angeles, CA",,,,,,,,,,,,,,,,
Rohan Nair,City Light Capital,,,,Venture Capital,www.citylight.vc,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"New York, NY",www.citylight.vc,,,,,,,,,,,,,,,
Andrew Nerlinger,Vesalius Ventures,,,,Venture Capital,www.vesaliusventures.com,"Africa, Asia, Middle East","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Houston, TX",www.vesaliusventures.com,,Yes,50%,20.0,9,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Days,5,30%,Medium,67%,No
Rupert Ralston,IT Ventures,,,,Venture Capital,www.itventures.co.nz,"Europe, United States",,,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"London, United Kingdom",www.itventures.co.nz,,,,,,,,,,,,,,,
Jeffrey B. Maters,Network Ventures,,,,Venture Capital,www.networkventures.vc,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.15,"Chicago, IL",www.networkventures.vc,,,,,,,,,,,,,,,
Sean Dempsey,Merus Capital,,,,Venture Capital,www.meruscap.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$2.50,"Palo Alto, CA",www.meruscap.com,,,,,,,,,,,,,,,
,Kodak Venture Group,,,,Corporate Venture Capital, ,"China, Europe, India, Israel, Singapore, United States",,,"Convertible Debt,SAFE,Debt",$0.25,$5.00,"Rochester, NY", ,,,,,,,,,,,,,,,
Marc Yagjian,Origin Partners,,,,Venture Capital,www.originpartners.com,"Northeast, Texas","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.50,"Hillsborough, NJ",www.originpartners.com,,,,,,,,,,,,,,,
Kelly Reeser,TechFarms Capital,,,,Venture Capital,www.techfarmscapital.com,"Alabama, Florida, Georgia, Louisiana, Mississippi, North   Carolina, South Carolina, Tennessee","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Panama City Beach, FL",www.techfarmscapital.com,,,,,,,,,,,,,,,
Michael Lousteau,I2BF Global Ventures,,,,Venture Capital,www.i2bf.com,"Europe, Israel, South Korea, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Beverly Hills, CA",www.i2bf.com,,,,,,,,,,,,,,,
